Text	Label
Orteronel was developed for treatment of which cancer?	[1 0 0 0]
Where is the protein Pannexin1 located?	[1 0 0 0]
What is the mode of inheritance of Wilson's disease?	[1 0 0 0]
What is the mode of inheritance of Facioscapulohumeral muscular dystrophy (FSHD)?	[1 0 0 0]
What kind of chromatography is HILIC?	[1 0 0 0]
What is the structural fold of bromodomain proteins?	[1 0 0 0]
Which MAP kinase phosphorylates the transcription factor c-jun?	[1 0 0 0]
"What is the meaning of the acronym ""TAILS"" used in protein N-terminomics?"	[1 0 0 0]
Which fusion protein is involved in the development of Ewing sarcoma?	[1 0 0 0]
Treatment of which disease was investigated in the MR CLEAN study?	[1 0 0 0]
Which enzyme is targeted by Evolocumab?	[1 0 0 0]
What is the methyl donor of DNA (cytosine-5)-methyltransferases?	[1 0 0 0]
Which signaling pathway does sonidegib inhibit?	[1 0 0 0]
In which phase of the cell cycle arrest is impaired in Fanconi anemia?	[1 0 0 0]
Mutation of which gene is implicated in the familial isolated pituitary adenoma?	[1 0 0 0]
GV1001 vaccine targets which enzyme?	[1 0 0 0]
Which is the E3 ubiquitin ligase which ubiquitinates IkB leading to its proteasomal degradation?	[1 0 0 0]
Mutation of which gene is implicated in the Brain-lung-thyroid syndrome?	[1 0 0 0]
Which enzyme is targeted by the drug Imetelstat?	[1 0 0 0]
In which breast cancer patients can palbociclib be used?	[1 0 0 0]
What is the method FASP used for?	[1 0 0 0]
Which gene is required for the efficient function of clopidogrel?	[1 0 0 0]
Which transcription factor is considered as a master regulator of lysosomal genes?	[1 0 0 0]
Which technique is used for detection of EWS/FLI1 fusion transcripts?	[1 0 0 0]
What is the application of the Bimolecular Fluorescence Complementation (BiFC) assay in Drosophila embryos?	[1 0 0 0]
What is the genetic basis of Rubinstein-Taybi syndrome?	[1 0 0 0]
What is the function of the AIRE gene at the embryonic stage?	[1 0 0 0]
Which is the genetic defect causing Neurofibromatosis type 1?	[1 0 0 0]
Which is the human selenoprotein that contains several Se-Cys residues?	[1 0 0 0]
Which package is available for analysing genomic interactions in R/Bioconductor?	[1 0 0 0]
How many clinical trials for off-label drugs in neonates are cited in the literature.	[1 0 0 0]
What enzyme is inhibied by Opicapone?	[1 0 0 0]
Do archaeal genomes contain one or multiple origins of replication?	[1 0 0 0]
Which is the genetic basis of Spinal Muscular Atrophy (SMA)?	[1 0 0 0]
Which is the third subunit of the TSC1-TSC2 complex upstream of mTORC1?	[1 0 0 0]
Which kinase is inhibited by the small molecule KN-93?	[1 0 0 0]
What are 'vildagliptin', 'sitagliptin', 'saxagliptin', 'alogliptin', 'linagliptin', and 'dutogliptin'?	[1 0 0 0]
Which is the most important prognosis sub-classification in Chronic Lymphocytic Leukemia?	[1 0 0 0]
What is needed for MMP proteins to be functional?	[1 0 0 0]
What is hyperosmia	[1 0 0 0]
What is the number of long non coding RNAs in the human genome	[1 0 0 0]
Which is the most known bacterium responsible for botulism (sausage-poisoning)?	[1 0 0 0]
What is the association of spermidine with α-synuclein neurotoxicity?	[1 0 0 0]
Where is the histone variant CENPA preferentially localized?	[1 0 0 0]
Which is the prognostic meaning of delayed enhancement documented in patients hypertrophic cardiomyopathy?	[1 0 0 0]
Which is the cellular localization of the protein Opa1?	[1 0 0 0]
Which genome browser database for DNA shape annotations is available?	[1 0 0 0]
What is the enzymatic activity of the breast cancer associated gene BRCA1?	[1 0 0 0]
What is the function of Neu5Gc (N-Glycolylneuraminic acid)?	[1 0 0 0]
Which metabolite activates AtxA?	[1 0 0 0]
Which amino acid residue appears mutated in most of the cases reported with  cadasil syndrome?	[1 0 0 0]
Which disease is characterized by congenital absence of intrinsic ganglion cells of the gastrointestinal tract?	[1 0 0 0]
What is the disease in which patients are sensitive to DNA crosslinking agents, presenting with a high frequency of chromosomal aberrations?	[1 0 0 0]
How is oprozomib administered?	[1 0 0 0]
Which syndrome is associated with mutant DVL1?	[1 0 0 0]
What is the target of the drug Olaparib?	[1 0 0 0]
Inhibition of which transporter is the mechanism of action of drug Canagliflozin?	[1 0 0 0]
Which gene strand is targeted by transcription-coupled repair (TCR)?	[1 0 0 0]
Which is the branch site consensus sequence in U12-dependent introns?	[1 0 0 0]
What is the genetic basis of tuberous sclerosis?	[1 0 0 0]
What is the molecular function of the Chd1 protein?	[1 0 0 0]
Which enzyme does MLN4924 inhibit?	[1 0 0 0]
Which protein has been found to interact with phospholamban (PLN) and is also an anti-apoptotic protein?	[1 0 0 0]
What is the number of protein coding genes in the human genome?	[1 0 0 0]
What is the indication for prophylactic use of antibiotics in COPD?	[1 0 0 0]
What is the generic name of Gliolan?	[1 0 0 0]
How many genes does the human hoxD cluster contain?	[1 0 0 0]
Which protein is the E3-ubiquitin ligase that targets the tumor suppressor p53 for proteasomal degradation?	[1 0 0 0]
What is the proportion of non canonical splice sites in the human genome?	[1 0 0 0]
"What is the causative agent of the ""Panama disease"" affecting bananas?"	[1 0 0 0]
Which biomarker is widely used in the diagnosis of Ewing sarcoma?	[1 0 0 0]
Which signalling pathway is involved in Tuberous Sclerosis?	[1 0 0 0]
Which is the relation between sweating and anaerobic threshold?	[1 0 0 0]
Name monoclonal antibody against SLAMF7.	[1 0 0 0]
Which enzyme deficiency can cause GM1 gangliosidoses?	[1 0 0 0]
What is the characteristic feature of the Dyke-Davidoff-Masson syndrome.	[1 0 0 0]
Which gene is involved in the development of Barth syndrome?	[1 0 0 0]
How many genes are in the gene signature screened by MammaPrint?	[1 0 0 0]
How many genera comprise the Flaviviridae family?	[1 0 0 0]
Mutation of which gene is associated with Achondroplasia?	[1 0 0 0]
Which type of lung cancer is the most strongly associated with Lambert-Eaton syndrome?	[1 0 0 0]
What distinguishes lantibiotics from antibiotics?	[1 0 0 0]
